"filename", "language", "JSON", "HTML", "TypeScript", "TOML", "Markdown", "JSON with Comments", "YAML", "Rust", "JavaScript", "PowerShell", "vue", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\steve\OneDrive\Desktop\Nova_A\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\steve\OneDrive\Desktop\Nova_A\Cargo.lock", "TOML", 0, 0, 0, 420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 56, 478
"c:\Users\steve\OneDrive\Desktop\Nova_A\Cargo.toml", "TOML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\steve\OneDrive\Desktop\Nova_A\LICENSE.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\steve\OneDrive\Desktop\Nova_A\README.md", "Markdown", 0, 0, 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 318
"c:\Users\steve\OneDrive\Desktop\Nova_A\README.zh-CN.md", "Markdown", 0, 0, 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 317
"c:\Users\steve\OneDrive\Desktop\Nova_A\crates\nova_format\Cargo.toml", "TOML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\steve\OneDrive\Desktop\Nova_A\crates\nova_format\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 2715, 0, 0, 0, 0, 0, 1, 76, 2792
"c:\Users\steve\OneDrive\Desktop\Nova_A\crates\nova_math\Cargo.toml", "TOML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\steve\OneDrive\Desktop\Nova_A\crates\nova_math\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 308, 0, 0, 0, 0, 0, 2, 44, 354
"c:\Users\steve\OneDrive\Desktop\Nova_A\crates\nova_physics\Cargo.toml", "TOML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
